FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION,,,,,,,,
23,24,PTQUAD10A,449864.17,4433961.85,,,Saddle Pt Quad 10A,Marilyn Walker,observational plot,3545.10,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
24,25,1B,449689.996,4434616.71,40.0603005,-105.5899057,1B,Heidi Stetzler,observational plot,3478.393,,,,,,,,,,
25,26,1A,449688.754,4434621.053,40.0603396,-105.5899206,1A,Heidi Stetzler,observational plot,3477.666,,,,,,,,,,
26,27,2B,449684.123,4434622.104,40.0603488,-105.5899749,2B,Heidi Stetzler,observational plot,3478.62,,,,,,,,,,
27,28,2A,449689.667,4434627.606,40.0603987,-105.5899104,2A,Heidi Stetzler,observational plot,3477.81,,,,,,,,,,
28,29,9A,449705.78,4434633.088,40.060449,-105.5897219,9A,Heidi Stetzler,observational plot,3475.858,,,,,,,,,,
29,30,11A,449697.28,4434646.809,40.0605721,-105.5898226,11A,Heidi Stetzler,observational plot,3474.598,,,,,,,,,,
30,31,11B,449698.693,4434648.188,40.0605846,-105.5898061,11B,Heidi Stetzler,observational plot,3474.306,,,,,,,,,,
31,32,12B,449690.615,4434656.797,40.0606617,-105.5899015,12B,Heidi Stetzler,observational plot,3474.358,,,,,,,,,,
32,33,8A,449685.017,4434647.765,40.06058,-105.5899665,8A,Heidi Stetzler,observational plot,3476.546,,,,,,,,,,
33,34,12A,449683.715,4434654.099,40.060637,-105.5899822,12A,Heidi Stetzler,observational plot,3475.62,,,,,,,,,,
34,35,8B,449681.852,4434652.083,40.0606187,-105.5900039,8B,Heidi Stetzler,observational plot,3474.441,,,,,,,,,,
35,36,4B,449672.572,4434640.356,40.0605125,-105.5901118,4B,Heidi Stetzler,observational plot,3479.449,,,,,,,,,,
36,37,4A,449669.499,4434644.323,40.0605481,-105.5901481,4A,Heidi Stetzler,observational plot,3479.33,,,,,,,,,,
37,38,7A,449686.06,4434636.643,40.0604799,-105.5899534,7A,Heidi Stetzler,observational plot,3478.107,,,,,,,,,,
38,39,7B,449685.688,4434633.791,40.0604542,-105.5899575,7B,Heidi Stetzler,observational plot,3478.134,,,,,,,,,,
39,40,3B,449684.126,4434632.506,40.0604425,-105.5899757,3B,Heidi Stetzler,observational plot,3478.312,,,,,,,,,,
40,41,3A?,449688.75,4434630.668,40.0604262,-105.5899214,3A?,Heidi Stetzler,observational plot,3478.833,,,,,,,,,,
41,42,6B,449698.636,4434632.001,40.0604388,-105.5898056,6B,Heidi Stetzler,observational plot,3476.091,,,,,,,,,,
42,43,5B,449701.151,4434626.029,40.0603851,-105.5897756,5B,Heidi Stetzler,observational plot,3476.505,,,,,,,,,,
43,44,5A,449699.982,4434627.94,40.0604023,-105.5897895,5A,Heidi Stetzler,observational plot,3475.386,,,,,,,,,,
44,45,9B,449704.16,4434629.08,40.0604128,-105.5897406,9B,Heidi Stetzler,observational plot,3475.167,,,,,,,,,,
45,46,9A,449705.543,4434633.213,40.0604501,-105.5897247,9A,Heidi Stetzler,observational plot,3474.763,,,,,,,,,,
46,47,10B,449700.186,4434633.509,40.0604525,-105.5897875,10B,Heidi Stetzler,observational plot,3474.894,,,,,,,,,,
47,48,10A,449696.356,4434637.843,40.0604913,-105.5898327,10A,Heidi Stetzler,observational plot,3474.878,,,,,,,,,,
48,49,D54,450228.234,4433773.292,40.0527339,-105.5835301,246 plot D54,Bill Bowman,manipulative plot,3479.296,,Nitrogen addition experiment,,,,,,,,
49,50,D56,450231.779,4433774.038,40.0527409,-105.5834886,246 plot D56,Bill Bowman,manipulative plot,3478.975,,Nitrogen addition experiment,,,,,,,,
50,51,D52,450232.219,4433777.456,40.0527717,-105.5834837,246 plot D52,Bill Bowman,manipulative plot,3479.276,,Nitrogen addition experiment,,,,,,,,
51,52,D50,450230.305,4433779.757,40.0527923,-105.5835063,246 plot D50,Bill Bowman,manipulative plot,3479.284,,Nitrogen addition experiment,,,,,,,,
52,53,D46,450235.418,4433782.131,40.052814,-105.5834466,246 plot D46,Bill Bowman,manipulative plot,3479.039,,Nitrogen addition experiment,,,,,,,,
53,54,D42,450237.612,4433786.466,40.0528532,-105.5834212,246 plot D42,Bill Bowman,manipulative plot,3479.334,,Nitrogen addition experiment,,,,,,,,
54,55,D44,450240.665,4433782.092,40.0528139,-105.583385,246 plot D44,Bill Bowman,manipulative plot,3479.122,,Nitrogen addition experiment,,,,,,,,
55,56,D40,450243.641,4433785.097,40.0528412,-105.5833504,246 plot D40,Bill Bowman,manipulative plot,3479.445,,Nitrogen addition experiment,,,,,,,,
56,57,D3C,450262.741,4433827.343,40.0532229,-105.5831297,246 plot D3C,Bill Bowman,manipulative plot,3482.792,,Nitrogen addition experiment,,,,,,,,
57,58,D32,450265.546,4433826.634,40.0532167,-105.5830968,246 plot D32,Bill Bowman,manipulative plot,3482.36,,Nitrogen addition experiment,,,,,,,,
58,59,D34,450266.347,4433825.152,40.0532034,-105.5830873,246 plot D34,Bill Bowman,manipulative plot,3480.749,,Nitrogen addition experiment,,,,,,,,
59,60,D36,450270.373,4433827.282,40.0532228,-105.5830402,246 plot D36,Bill Bowman,manipulative plot,3480.866,,Nitrogen addition experiment,,,,,,,,
60,61,D24,450270.621,4433837.851,40.0533181,-105.5830381,246 plot D24,Bill Bowman,manipulative plot,3481.613,,Nitrogen addition experiment,,,,,,,,
61,62,D22,450269.419,4433841.062,40.0533469,-105.5830525,246 plot D22,Bill Bowman,manipulative plot,3482.34,,Nitrogen addition experiment,,,,,,,,
62,63,D2C,450270.126,4433842.436,40.0533593,-105.5830443,246 plot D2C,Bill Bowman,manipulative plot,3482.128,,Nitrogen addition experiment,,,,,,,,
63,64,D26,450272.235,4433840.612,40.053343,-105.5830194,246 plot D26,Bill Bowman,manipulative plot,3482.204,,Nitrogen addition experiment,,,,,,,,
64,65,D1C,450290.317,4433833.674,40.0532816,-105.5828069,246 plot D1C,Bill Bowman,manipulative plot,3480.49,,Nitrogen addition experiment,,,,,,,,
65,66,D12,450290.277,4433831.505,40.053262,-105.5828072,246 plot D12,Bill Bowman,manipulative plot,3480.302,,Nitrogen addition experiment,,,,,,,,
66,67,D14,450292.679,4433830.319,40.0532515,-105.5827789,246 plot D14,Bill Bowman,manipulative plot,3479.637,,Nitrogen addition experiment,,,,,,,,
67,68,D16,450294.015,4433827.6,40.0532271,-105.5827631,246 plot D16,Bill Bowman,manipulative plot,3479.221,,Nitrogen addition experiment,,,,,,,,
68,69,10C,450386.291,4433851.874,40.0534512,-105.5816831,246 plot 10C,Bill Bowman,manipulative plot,3476.993,,Nitrogen addition experiment,,,,,,,,
69,70,11+,450388.407,4433852.327,40.0534554,-105.5816584,11+,Bill Bowman,manipulative plot,3477.036,,,,,,,,,,
70,71,12+,450388.785,4433854.301,40.0534732,-105.5816541,12+,Bill Bowman,manipulative plot,3477.296,,,,,,,,,,
71,72,13+,450386.303,4433856.029,40.0534886,-105.5816833,13+,Bill Bowman,manipulative plot,3477.907,,,,,,,,,,
72,73,14+,450386.607,4433853.953,40.05347,-105.5816796,14+,Bill Bowman,manipulative plot,3477.435,,,,,,,,,,
73,74,15C,450383.588,4433854.283,40.0534728,-105.581715,15C,Bill Bowman,manipulative plot,3477.23,,,,,,,,,,
74,75,20,450401.578,4433860.067,40.0535259,-105.5815045,20,Bill Bowman,manipulative plot,3477.209,,,,,,,,,,
75,76,21C,450402.965,4433860.607,40.0535309,-105.5814883,21C,Bill Bowman,manipulative plot,3477.491,,,,,,,,,,
76,77,22+,450404.6,4433859.844,40.0535241,-105.5814691,22+,Bill Bowman,manipulative plot,3477.921,,,,,,,,,,
77,78,23,450403.617,4433862.512,40.0535481,-105.5814808,23,Bill Bowman,manipulative plot,3478.221,,,,,,,,,,
78,79,24C,450405.973,4433864.892,40.0535696,-105.5814534,24C,Bill Bowman,manipulative plot,3478.143,,,,,,,,,,
79,80,25,450406.43,4433862.787,40.0535507,-105.5814479,25,Bill Bowman,manipulative plot,3477.73,,,,,,,,,,
80,81,26,450416.713,4433868.61,40.0536038,-105.5813278,26,Bill Bowman,manipulative plot,3478.691,,,,,,,,,,
81,82,28+,450418.016,4433866.705,40.0535867,-105.5813123,28+,Bill Bowman,manipulative plot,3478.08,,,,,,,,,,
82,83,29+,450419.73,4433866.648,40.0535863,-105.5812922,29+,Bill Bowman,manipulative plot,3477.803,,,,,,,,,,
83,84,30,450421.246,4433868.034,40.0535989,-105.5812746,30,Bill Bowman,manipulative plot,3478.385,,,,,,,,,,
84,85,31C,450426.325,4433867.349,40.053593,-105.581215,31C,Bill Bowman,manipulative plot,3478.522,,,,,,,,,,
85,86,32C,450405.189,4433843.069,40.053373,-105.5814609,32C,Bill Bowman,manipulative plot,3474.796,,,,,,,,,,
86,87,33,450405.906,4433840.747,40.0533521,-105.5814523,33,Bill Bowman,manipulative plot,3474.428,,,,,,,,,,
87,88,34,450406.571,4433837.286,40.053321,-105.5814443,34,Bill Bowman,manipulative plot,3473.887,,,,,,,,,,
88,89,35,450405.015,4433834.322,40.0532942,-105.5814623,35,Bill Bowman,manipulative plot,3473.758,,,,,,,,,,
89,90,36C,450408.108,4433832.579,40.0532787,-105.5814259,36C,Bill Bowman,manipulative plot,3473.456,,,,,,,,,,
90,91,37,450411.912,4433831.233,40.0532668,-105.5813812,37,Bill Bowman,manipulative plot,3473.438,,,,,,,,,,
91,92,38C,450415.251,4433827.065,40.0532294,-105.5813417,38C,Bill Bowman,manipulative plot,3472.815,,,,,,,,,,
92,93,39,450415.867,4433823.181,40.0531944,-105.5813342,39,Bill Bowman,manipulative plot,3472.183,,,,,,,,,,
93,94,40,450417.704,4433823.328,40.0531959,-105.5813127,40,Bill Bowman,manipulative plot,3471.986,,,,,,,,,,
94,95,41+,450417.167,4433820.685,40.053172,-105.5813188,41+,Bill Bowman,manipulative plot,3471.291,,,,,,,,,,
95,96,42,450412.766,4433821.11,40.0531756,-105.5813704,42,Bill Bowman,manipulative plot,3471.397,,,,,,,,,,
96,97,43C,450412.165,4433819.544,40.0531615,-105.5813773,43C,Bill Bowman,manipulative plot,3471.039,,,,,,,,,,
97,98,TDRSITE,450248.065,4433997.667,40.0547565,-105.5833148,TDR Site,Bill Bowman,observational point,3502.561,,,,,,,,,,
98,99,TDRSITE,450239.779,4433985.894,40.05465,-105.5834111,TDR Site,Bill Bowman,observational point,3498.422,,,,,,,,,,
99,100,TDRSITE,450234.7,4433994.417,40.0547265,-105.5834713,TDR Site,Bill Bowman,observational point,3501.558,,,,,,,,,,
100,101,TDRSITE,450236.396,4433998.548,40.0547638,-105.5834517,TDR Site,Bill Bowman,observational point,3502.191,,,,,,,,,,
101,102,+T+W,450505.371,4434104.821,40.0557371,-105.5803064,+T+W,Jeff Welker,manipulative plot,3494.588,,ITEX exp,,,,,,,,
102,103,+T+W,450510.826,4434106.648,40.0557539,-105.5802426,+T+W,Jeff Welker,manipulative plot,3493.807,,ITEX exp,,,,,,,,
103,104,-T-W,450506.141,4434100.03,40.055694,-105.580297,-T-W,Jeff Welker,manipulative plot,3494.558,,ITEX exp,,,,,,,,
104,105,welker unk,450505.082,4434098.535,40.0556804,-105.5803093,Welker Unk,Jeff Welker,manipulative plot,3494.98,,ITEX exp,,,,,,,,
105,106,-T-W,450509.423,4434098.065,40.0556764,-105.5802584,-T-W,Jeff Welker,manipulative plot,3495.104,,ITEX exp,,,,,,,,
106,107,-T+W,450511.914,4434104.211,40.055732,-105.5802296,-T+W,Jeff Welker,manipulative plot,3494.504,,ITEX exp,,,,,,,,
107,108,welker unk,450515.065,4434107.991,40.0557662,-105.580193,Welker Unk,Jeff Welker,manipulative plot,3493.765,,ITEX exp,,,,,,,,
108,109,+T-W,450520.449,4434111.137,40.0557949,-105.5801301,+T-W,Jeff Welker,manipulative plot,3492.982,,ITEX exp,,,,,,,,
109,110,+T-W,450520.595,4434103.719,40.055728,-105.5801278,+T-W,Jeff Welker,manipulative plot,3493.242,,ITEX exp,,,,,,,,
110,111,-T-W,450517.709,4434104.676,40.0557365,-105.5801617,-T-W,Jeff Welker,manipulative plot,3493.343,,ITEX exp,,,,,,,,
111,112,+T-W,450521.989,4434100.82,40.055702,-105.5801113,+T-W,Jeff Welker,manipulative plot,3493.336,,ITEX exp,,,,,,,,
112,113,+T-W,450520.178,4434096.57,40.0556636,-105.5801322,+T-W,Jeff Welker,manipulative plot,3494.26,,ITEX exp,,,,,,,,
113,114,-T+W,450525.892,4434099.93,40.0556942,-105.5800654,-T+W,Jeff Welker,manipulative plot,3492.883,,ITEX exp,,,,,,,,
114,115,+T-W,450528.192,4434097.892,40.055676,-105.5800383,+T-W,Jeff Welker,manipulative plot,3493.108,,ITEX exp,,,,,,,,
115,116,+T+W,450525.782,4434096.023,40.055659,-105.5800664,+T+W,Jeff Welker,manipulative plot,3493.438,,ITEX exp,,,,,,,,
116,117,-T-W,450522.48,4434092.536,40.0556274,-105.5801049,-T-W,Jeff Welker,manipulative plot,3494.478,,ITEX exp,,,,,,,,
117,118,+T-W,450520.005,4434096.483,40.0556628,-105.5801342,+T-W,Jeff Welker,manipulative plot,3493.827,,ITEX exp,,,,,,,,
118,119,+T+W,450519.782,4434086.462,40.0555725,-105.580136,+T+W,Jeff Welker,manipulative plot,3495.079,,ITEX exp,,,,,,,,
119,120,+T+W,450515.336,4434081.814,40.0555304,-105.5801878,+T+W,Jeff Welker,manipulative plot,3495.884,,ITEX exp,,,,,,,,
120,121,-T-W,450513.025,4434080.673,40.05552,-105.5802148,-T-W,Jeff Welker,manipulative plot,3496.319,,ITEX exp,,,,,,,,
121,122,welker unk,450509.572,4434079.172,40.0555062,-105.5802552,Welker Unk,Jeff Welker,manipulative plot,3496.438,,ITEX exp,,,,,,,,
122,123,welker unk,450516.376,4434079.342,40.0555082,-105.5801754,Welker Unk,Jeff Welker,manipulative plot,3496.53,,ITEX exp,,,,,,,,
123,124,-T+W,450516.271,4434072.566,40.0554471,-105.5801761,-T+W,Jeff Welker,manipulative plot,3497.829,,ITEX exp,,,,,,,,
124,125,-T-W,450521.485,4434073.622,40.0554569,-105.5801151,-T-W,Jeff Welker,manipulative plot,3497.714,,ITEX exp,,,,,,,,
125,126,-T+W,450524.362,4434078.388,40.0555,-105.5800817,-T+W,Jeff Welker,manipulative plot,3496.877,,ITEX exp,,,,,,,,
126,127,-T+W,450525.169,4434083.938,40.0555501,-105.5800727,-T+W,Jeff Welker,manipulative plot,3495.529,,ITEX exp,,,,,,,,
127,128,-T+W,450528.802,4434084.178,40.0555525,-105.5800301,-T+W,Jeff Welker,manipulative plot,3495.404,,ITEX exp,,,,,,,,
128,129,-T+W,450528.464,4434091.288,40.0556165,-105.5800346,-T+W,Jeff Welker,manipulative plot,3494.247,,ITEX exp,,,,,,,,
129,130,-T-W,450533.579,4434090.213,40.0556071,-105.5799746,-T-W,Jeff Welker,manipulative plot,3493.877,,ITEX exp,,,,,,,,
130,131,+T+W,450533.23,4434086.772,40.0555761,-105.5799784,+T+W,Jeff Welker,manipulative plot,3494.627,,ITEX exp,,,,,,,,
131,132,+T+W,450536.109,4434083.949,40.0555508,-105.5799444,+T+W,Jeff Welker,manipulative plot,3494.822,,ITEX exp,,,,,,,,
132,133,+T,450534.598,4434067.049,40.0553985,-105.5799609,+T,Jeff Welker,manipulative plot,3497.702,,ITEX exp,,,,,,,,
133,134,+T,450539.859,4434067.45,40.0554024,-105.5798992,+T,Jeff Welker,manipulative plot,3497.006,,ITEX exp,,,,,,,,
134,135,+T,450541.24,4434064.814,40.0553787,-105.5798828,+T,Jeff Welker,manipulative plot,3497.32,,ITEX exp,,,,,,,,
135,136,+T,450545.995,4434063.518,40.0553673,-105.579827,+T,Jeff Welker,manipulative plot,3497.212,,ITEX exp,,,,,,,,
136,137,+T,450547.524,4434071.413,40.0554386,-105.5798096,+T,Jeff Welker,manipulative plot,3496.132,,ITEX exp,,,,,,,,
137,138,+T,450550.033,4434068.235,40.0554101,-105.57978,+T,Jeff Welker,manipulative plot,3496.549,,ITEX exp,,,,,,,,
138,139,+T,450554.283,4434069.363,40.0554205,-105.5797302,+T,Jeff Welker,manipulative plot,3495.601,,ITEX exp,,,,,,,,
139,140,+T,450554.056,4434060.056,40.0553366,-105.5797322,+T,Jeff Welker,manipulative plot,3496.487,,ITEX exp,,,,,,,,
140,141,+T,450546.362,4434059.436,40.0553306,-105.5798224,+T,Jeff Welker,manipulative plot,3497.031,,ITEX exp,,,,,,,,
141,142,PTQUAD20A,449875.66,4434003.30,,,Saddle Pt Quad 20A,Marilyn Walker,observational plot,3551.67,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
142,143,PTQUAD30A,449882.24,4434062.99,,,Saddle Pt Quad 30A,Marilyn Walker,observational plot,3549.39,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
143,144,PTQUAD40A,449901.61,4434102.94,,,Saddle Pt Quad 40A,Marilyn Walker,observational plot,3546.75,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
144,145,PTQUAD50A,449907.55,4434150.28,,,Saddle Pt Quad 50A,Marilyn Walker,observational plot,3543.47,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
145,146,PTQUAD60A,449926.84,4434202.19,,,Saddle Pt Quad 60A,Marilyn Walker,observational plot,3540.54,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
146,147,PTQUAD70A,449939.71,4434250.76,,,Saddle Pt Quad 70A,Marilyn Walker,observational plot,3538.28,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
147,148,PTQUAD80A,449952.71,4434293.20,,,Saddle Pt Quad 80A,Marilyn Walker,observational plot,3530.50,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
148,149,PTQUAD80,449905.24,4434309.92,,,Saddle Pt Quad 80,Marilyn Walker,observational plot,3521.55,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
149,150,PTQUAD70,449891.42,4434263.37,,,Saddle Pt Quad 70,Marilyn Walker,observational plot,3530.02,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
150,151,PTQUAD60,449878.20,4434214.53,,,Saddle Pt Quad 60,Marilyn Walker,observational plot,3534.49,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
151,152,PTQUAD50,449866.04,4434163.55,,,Saddle Pt Quad 50,Marilyn Walker,observational plot,3538.43,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
152,153,PTQUAD40,449853.04,4434118.83,,,Saddle Pt Quad 40,Marilyn Walker,observational plot,3541.87,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
153,154,PTQUAD30,449840.22,4434071.71,,,Saddle Pt Quad 30,Marilyn Walker,observational plot,3545.53,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
154,155,PTQUAD20,449827.89,4434022.64,,,Saddle Pt Quad 20,Marilyn Walker,observational plot,3547.31,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
155,156,PTQUAD10,449815.15,4433973.92,,,Saddle Pt Quad 10,Marilyn Walker,observational plot,3540.48,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
156,157,EP10-1E,449725.341,4434086.781,40.0555284,-105.5894501,EP10-1E,Marilyn Walker,manipulative plot,3530.299,,ITEX exp,,,,,,,,
157,158,EP10-1C,449725.633,4434089.002,40.0555484,-105.5894469,EP10-1C,Marilyn Walker,manipulative plot,3529.483,,ITEX exp,,,,,,,,
158,159,10-1E,449730.737,4434110.968,40.0557466,-105.5893887,10-1E,Marilyn Walker,manipulative plot,3528.918,,ITEX exp,,,,,,,,
159,160,10-1C,449729.405,4434109.565,40.0557339,-105.5894042,10-1C,Marilyn Walker,manipulative plot,3529.491,,ITEX exp,,,,,,,,
160,161,10-2C,449731.761,4434118.882,40.055818,-105.5893773,10-2C,Marilyn Walker,manipulative plot,3529.808,,ITEX exp,,,,,,,,
161,162,10-2E,449733.447,4434120.103,40.0558291,-105.5893577,10-2E,Marilyn Walker,manipulative plot,3529.619,,ITEX exp,,,,,,,,
162,163,10-3E,449734.666,4434126.083,40.055883,-105.5893438,10-3E,Marilyn Walker,manipulative plot,3528.923,,ITEX exp,,,,,,,,
163,164,10-3C,449735.234,4434128.052,40.0559008,-105.5893373,10-3C,Marilyn Walker,manipulative plot,3528.854,,ITEX exp,,,,,,,,
164,165,10-4C,449735.919,4434134.707,40.0559608,-105.5893298,10-4C,Marilyn Walker,manipulative plot,3528.297,,ITEX exp,,,,,,,,
165,166,10-4E,449737.648,4434136.038,40.0559729,-105.5893096,10-4E,Marilyn Walker,manipulative plot,3528.281,,ITEX exp,,,,,,,,
166,167,10-5E,449738.031,4434138.137,40.0559918,-105.5893053,10-5E,Marilyn Walker,manipulative plot,3528.126,,ITEX exp,,,,,,,,
167,168,10-5C,449737.218,4434139.853,40.0560072,-105.589315,10-5C,Marilyn Walker,manipulative plot,3528.071,,ITEX exp,,,,,,,,
168,169,EP10-2E,449748.661,4434183.332,40.0563996,-105.5891842,EP10-2E,Marilyn Walker,manipulative plot,3526.534,,ITEX exp,,,,,,,,
169,170,EP10-2C,449748.546,4434185.234,40.0564167,-105.5891857,EP10-2C,Marilyn Walker,manipulative plot,3526.527,,ITEX exp,,,,,,,,
170,171,EP10-3E,449750.723,4434187.871,40.0564406,-105.5891604,EP10-3E,Marilyn Walker,manipulative plot,3525.998,,ITEX exp,,,,,,,,
171,172,EP10-3C,449751.741,4434189.055,40.0564514,-105.5891485,EP10-3C,Marilyn Walker,manipulative plot,3525.71,,ITEX exp,,,,,,,,
172,173,EP25-3E,449761.885,4434165.754,40.056242,-105.5890278,EP25-3E,Marilyn Walker,manipulative plot,3527.402,,ITEX exp,,,,,,,,
173,174,EP25-3C,449761.463,4434164.205,40.0562281,-105.5890326,EP25-3C,Marilyn Walker,manipulative plot,3527.524,,ITEX exp,,,,,,,,
174,175,25-5E,449751.916,4434131.63,40.055934,-105.589142,25-5E,Marilyn Walker,manipulative plot,3529.014,,ITEX exp,,,,,,,,
175,176,25-5C,449750.972,4434129.923,40.0559186,-105.589153,25-5C,Marilyn Walker,manipulative plot,3529.003,,ITEX exp,,,,,,,,
176,177,25-4E,449750.64,4434125.094,40.0558751,-105.5891565,25-4E,Marilyn Walker,manipulative plot,3528.356,,ITEX exp,,,,,,,,
177,178,25-4C,449748.81,4434124.534,40.0558699,-105.5891779,25-4C,Marilyn Walker,manipulative plot,3528.145,,ITEX exp,,,,,,,,
178,179,25-3E,449749.899,4434123.061,40.0558567,-105.589165,25-3E,Marilyn Walker,manipulative plot,3528.673,,ITEX exp,,,,,,,,
179,180,25-3C,449748.091,4434121.367,40.0558413,-105.5891861,25-3C,Marilyn Walker,manipulative plot,3529.502,,ITEX exp,,,,,,,,
180,181,25-2E,449748.336,4434118.92,40.0558193,-105.589183,25-2E,Marilyn Walker,manipulative plot,3529.735,,ITEX exp,,,,,,,,
181,182,25-2C,449747.257,4434117.303,40.0558047,-105.5891955,25-2C,Marilyn Walker,manipulative plot,3529.796,,ITEX exp,,,,,,,,
182,183,25-1E,449747.743,4434115.804,40.0557912,-105.5891897,25-1E,Marilyn Walker,manipulative plot,3530.111,,ITEX exp,,,,,,,,
183,184,25-1C,449746.408,4434114.181,40.0557765,-105.5892052,25-1C,Marilyn Walker,manipulative plot,3529.965,,ITEX exp,,,,,,,,
184,185,EP25-2C,449741.576,4434084.902,40.0555124,-105.5892596,EP25-2C,Marilyn Walker,manipulative plot,3530.521,,ITEX exp,,,,,,,,
185,186,EP25-2E,449740.086,4434083.754,40.055502,-105.589277,EP25-2E,Marilyn Walker,manipulative plot,3530.606,,ITEX exp,,,,,,,,
186,187,EP25-1C,449740.212,4434081.907,40.0554854,-105.5892754,EP25-1C,Marilyn Walker,manipulative plot,3530.628,,ITEX exp,,,,,,,,
187,188,EP45-1E,449759.577,4434080.604,40.0554748,-105.5890483,EP45-1E,Marilyn Walker,manipulative plot,3531.137,,ITEX exp,,,,,,,,
188,189,EP45-1C,449758.651,4434082.099,40.0554882,-105.5890592,EP45-1C,Marilyn Walker,manipulative plot,3531.132,,ITEX exp,,,,,,,,
189,190,EP45-2E,449760.293,4434082.802,40.0554946,-105.58904,EP45-2E,Marilyn Walker,manipulative plot,3531.45,,ITEX exp,,,,,,,,
190,191,EP45-2C,449760.861,4434084.458,40.0555096,-105.5890335,EP45-2C,Marilyn Walker,manipulative plot,3531.696,,ITEX exp,,,,,,,,
