,SITE,SPP,GRSTRAT,WOODY,GFNARROWarft,GFNARROWwalker,GENUS,SPECIES,SpeciesGenus,RAUNKIAERS,SORENSENS,GEODISTR
23,SADVENT,KOEISL,RAMBO,HERB,GRAMINOID,FORB,Koenigia,islandica,Koenigia islandica,,NA,NA
24,SADVENT,XXXLIVERWO,,LIVE,LIVER,LIVERU,,, ,,NA,NA
25,SADVENT,LUZARC,PHAL,HERB,GRAMINOID,RUSH,Luzula,arctica,Luzula arctica,HE,NA,NA
26,SADVENT,LUZCON,PHAL,HERB,GRAMINOID,RUSH,Luzula,confusa,Luzula confusa,HE,NA,NA
27,SADVENT,MEETRI,,,MOSS,MACRO,Meesia,triquetra,Meesia triquetra,,NA,NA
28,SADVENT,MNIBLY,,,MOSS,MACRO,Mnium,blyttii,Mnium blyttii,,NA,NA
29,SADVENT,PALSQU,,,MOSS,MACRO,Paludella,squarrosa,Paludella squarrosa,,NA,NA
30,SADVENT,PARSAX,,,LICHEN,LFOLI,Parmelia,saxatilis,Parmelia saxatilis,,NA,NA
31,SADVENT,PEDDAS,RAMBO,HERB,FORBSV,FORB,Pedicularis,dasyantha,Pedicularis dasyantha,,NA,NA
32,SADVENT,POHCRU,,,MOSS,MACRO,Pohlia,cruda,Pohlia cruda,,NA,NA
33,SADVENT,POAALP,GUER,HERB,GRAMINOID,GRASS,Poa,alpina,Poa alpina,HE,NA,NA
34,SADVENT,POAARC,GUER,HERB,GRAMINOID,GRASS,Poa,arctica,Poa arctica,HE,NA,NA
35,SADVENT,PTICIL,,,LIVER,LIVERLE,Ptilidium,ciliare,Ptilidium ciliare,,NA,NA
36,SADVENT,RACCAN,,,MOSS,MPLEU,Racomitrium,canescens,Racomitrium canescens,,NA,NA
37,SADVENT,RANHYP,,HERB,FORBSV,FORB,Ranunculus,hyperboreus,Ranunculus hyperboreus,HE,NA,NA
38,SADVENT,RANPYG,RAMBO,HERB,FORBSV,FORB,Ranunculus,pygmaeus,Ranunculus pygmaeus,HE,NA,NA
39,SADVENT,SALPOL,PHAL,WOODY,DSHRUB,SDECI,Salix,polaris,Salix polaris,CH,NA,NA
40,SADVENT,SANUNI,,,MOSS,MPLEU,Sanionia,uncinata,Sanionia uncinata,,NA,NA
41,SADVENT,SAXCER,RAMBO,HERB,FORBSV,FORB,Saxifraga,cernua,Saxifraga cernua,HE,NA,NA
42,SADVENT,SAXFOL,RAMBO,HERB,FORBSV,FORB,Saxifraga,foliolosa,Saxifraga foliolosa,HE,NA,NA
43,SADVENT,SAXHIR,RAMBO,HERB,FORBSV,FORB,Saxifraga,hirculus,Saxifraga hirculus,HE,NA,NA
44,SADVENT,SAXNIV,RAMBO,HERB,FORBSV,FORB,Saxifraga,nivalis,Saxifraga nivalis,HE,NA,NA
45,SADVENT,SAXTEN,RAMBO,HERB,FORBSV,FORB,Saxifraga,tenuis,Saxifraga tenuis,HE,NA,NA
46,SADVENT,STECRA,RAMBO,HERB,FORBSV,FORB,Stellaria,crassipes,Stellaria crassipes,HE,NA,NA
47,SADVENT,THAVER,,,LICHEN,LFRUT,Thamnolia,vermicularis,Thamnolia vermicularis,,NA,NA
48,SADVENT,TOMNIT,,,MOSS,MPLEU,Tomentypnum,nitens,Tomentypnum nitens,,NA,NA
49,SADVENT,TORTOR,,,MOSS,MACRO,Tortella,tortuosa,Tortella tortuosa,,NA,NA
50,SADVENT,XXXWANSTO,,,MOSS,MPLEU,,, ,,NA,NA
51,SADVENT,XXXBARDEA,,,SOIL,SOIL,,, ,,NA,NA
52,SADVENT,XXXBARGRO,,,SOIL,SOIL,,, ,,NA,NA
53,SADVENT,XXXBLACRU,,,ALGAE,ALGAE,,, ,,NA,NA
54,SADVENT,XXXCrLiche3,,,LICHEN,LCRUS,,, ,,NA,NA
55,SADVENT,XXXDEALIT,,,LITTER,LITTER,,, ,,NA,NA
56,SADVENT,XXXDICSPP,,,MOSS,MACRO,Dicranum,,Dicranum ,,NA,NA
57,SADVENT,XXXDISDIC,,,MOSS,MACRO,,, ,,NA,NA
58,SADVENT,XXXFoLich2,,,LICHEN,LFOLI,,, ,,NA,NA
59,SADVENT,XXXFUNGI,,,FUNGI,UNK,,, ,,NA,NA
60,SADVENT,XXXGOODRO,,,DUNG,DUNG,,, ,,NA,NA
61,SADVENT,XXXGRAEQU,,HERB,UNK,UNK,,, ,,NA,NA
62,SADVENT,XXXGRAM,,HERB,GRAMINOID,GRASS,,, ,,NA,NA
63,SADVENT,XXXHERB,,HERB,FORBSV,FORB,,, ,,NA,NA
64,SADVENT,XXXLICHEN,,,LICHEN,LICHENU,,, ,,NA,NA
65,SADVENT,XXXLITTER,,,LITTER,LITTER,,, ,,NA,NA
66,SADVENT,XXXMOSS,,,MOSS,MOSSU,,, ,,NA,NA
67,SADVENT,XXXMOSS1,,,MOSS,MACRO,,, ,,NA,NA
68,SADVENT,XXXMOSS2,,,MOSS,MPLEU,,, ,,NA,NA
69,SADVENT,XXXMOSS3,,,MOSS,MACRO,,, ,,NA,NA
70,SADVENT,XXXMOSS4,,,MOSS,MPLEU,,, ,,NA,NA
71,SADVENT,XXXNEPPEL,,,LICHEN,LFOLI,,, ,,NA,NA
72,SADVENT,XXXOCHSPP,,,LICHEN,LCRUS,Ochrelechia,,Ochrelechia ,,NA,NA
73,SADVENT,XXXOTHER,,,OTHER,OTHER,,, ,,NA,NA
74,SADVENT,XXXPOASP,,HERB,GRAMINOID,GRASS,Poa,,Poa ,HE,NA,NA
75,SADVENT,XXXPOLSPP,,,MOSS,MACRO,Polytrichum,,Polytrichum ,,NA,NA
76,SADVENT,XXXREIDRO,,,DUNG,DUNG,,, ,,NA,NA
77,SADVENT,XXXSEEDLI,RAMBO,,UNK,UNK,,, ,,NA,NA
78,SADVENT,XXXSHRUB,PHAL,WOODY,SHRUBU,SHRUBU,,, ,CH,NA,NA
79,SADVENT,XXXSTESPP,,,LICHEN,LCRUS,Stereocaulon,,Stereocaulon ,,NA,NA
80,ABISKO,ANDPOL,GUER,WOODY,ESHRUB,SEVER,Andromeda,polifolia,Andromeda polifolia,CH,NA,cosmo
81,ABISKO,ARCALP,GUER,WOODY,DSHRUB,SDECI,Arctostaphylos,alpina,Arctostaphylos alpina,CH,NA,arctic-alpine
82,ABISKO,ASTALP,,,FORBSV,FORB,Astragalus,alpinus,Astragalus alpinus,,NA,
83,ABISKO,ASTFRI,,,FORBSV,FORB,Astragalus,frigidus,Astragalus frigidus,,NA,
84,ABISKO,AULTUR,,,MOSS,MACRO,Aulacomnium,turgidum,Aulacomnium turgidum,,NA,arctic/alpine
85,ABISKO,BARALP,,,FORBSV,FORB,Bartsia,alpina,Bartsia alpina,,NA,
86,ABISKO,BETNAN,GUER,WOODY,DSHRUB,SDECI,Betula,nana,Betula nana,PH,NA,arctic
87,ABISKO,CALLAP,GUER,HERB,GRAMINOID,GRASS,Calamagrostis,lapponica,Calamagrostis lapponica,HE,NA,arctic-alpine
88,ABISKO,CALSTRA,,,MOSS,MPLEU,Calliergon,stramineum,Calliergon stramineum,,NA,cosmo
89,ABISKO,CARPAR,,,GRAMINOID,SEDGE,Carex,parallela,Carex parallela,,NA,
90,ABISKO,CARVAG,,,GRAMINOID,SEDGE,Carex,vaginata,Carex vaginata,,NA,
91,ABISKO,CASTET,,,ESHRUB,SEVER,Cassiope,tetragona,Cassiope tetragona,,NA,
92,ABISKO,CETACU,,,LICHEN,LFRUT,Cetraria,aculeata,Cetraria aculeata,,NA,cosmo
93,ABISKO,CETISL,,,LICHEN,LFRUT,Cetraria,islandica,Cetraria islandica,,NA,cosmo
94,ABISKO,CHAALP,,,FORBSV,FORB,Chamaeorchis,alpina,Chamaeorchis alpina,,NA,
95,ABISKO,CLAFUR,,,LICHEN,LFRUT,Cladonia,furcata,Cladonia furcata,,NA,cosmo
96,ABISKO,CLAGRA,,,LICHEN,LFRUT,Cladonia,gracilis,Cladonia gracilis,,NA,cosmo
97,ABISKO,DRYOCT,,,ESHRUB,SEVER,Dryas,octopetala,Dryas octopetala,,NA,
98,ABISKO,EMPHER,PHAL,WOODY,ESHRUB,SEVER,Empetrum,hermaphroditum,Empetrum hermaphroditum,CH,NA,arctic-alpine
99,ABISKO,EMPNIG,,,ESHRUB,SEVER,Empetrum,nigrum,Empetrum nigrum,,NA,
100,ABISKO,EQUARV,GUER,HERB,FORBSV,SLVASC,Equisetum,arvense,Equisetum arvense,CR,NA,cosmo
101,ABISKO,EQUSCI,,,FORBSV,SLVASC,Equisetum,scirpoides,Equisetum scirpoides,,NA,
102,ABISKO,ERIVAG,PHAL,HERB,GRAMINOID,SEDGE,Eriophorum,vaginatum,Eriophorum vaginatum,HE,NA,cosmo
103,ABISKO,FESOVI,,,GRAMINOID,GRASS,Festuca,ovina,Festuca ovina,,NA,
104,ABISKO,FLACUC,,,LICHEN,LFRUT,Flavocetraria,cucullata,Flavocetraria cucullata,,NA,arctic/alpine
105,ABISKO,FLANIV,,,LICHEN,LFRUT,Flavocetraria,nivalis,Flavocetraria nivalis,,NA,arctic/alpine
106,ABISKO,LEUALP,,,FORBSV,FORB,Leuchorchis,albida,Leuchorchis albida,,NA,
107,ABISKO,MYLANO,,,LIVER,LIVERLE,Mylia,anomala,Mylia anomala,,NA,cosmo
108,ABISKO,OCHFRI,,,LICHEN,LCRUS,Ochrolechia,frigida,Ochrolechia frigida,,NA,arctic/alpine
109,ABISKO,PEDLAP,,,FORBSV,FORB,Pedicularis,lapponica,Pedicularis lapponica,,NA,
110,ABISKO,PINVIL,RAMBO,HERB,FORBSV,FORB,Pinguicula,villosa,Pinguicula villosa,CR,NA,arctic-alpine
111,ABISKO,PINVUL,,,FORBSV,FORB,Pinguicula,vulgaris,Pinguicula vulgaris,,NA,
112,ABISKO,PLESCH,,,MOSS,MPLEU,Pleurozium,schreberi,Pleurozium schreberi,,NA,cosmo
113,ABISKO,POHNUT,,,MOSS,MACRO,Pohlia,nutans,Pohlia nutans,,NA,cosmo
114,ABISKO,POLSTR,,,MOSS,MACRO,Polytrichum,strictum,Polytrichum strictum,,NA,cosmo
115,ABISKO,POLVIV,,,FORBSV,FORB,Polygonum,viviparum,Polygonum viviparum,,NA,
116,ABISKO,PTICIL,,,LIVER,LIVERLE,Ptilidium,ciliare,Ptilidium ciliare,,NA,cosmo
117,ABISKO,RHOLAP,,,ESHRUB,SEVER,Rhododendron,lapponicum,Rhododendron lapponicum,,NA,
118,ABISKO,RICLAT,,,LIVER,LIVERTH,Riccardia,latifrans,Riccardia latifrans,,NA,cosmo
119,ABISKO,RUBCHA,PHAL,HERB,FORBSV,FORB,Rubus,chamaemorus,Rubus chamaemorus,HE,NA,boreal
120,ABISKO,SALHAS,,,DSHRUB,SDECI,Salix,hastata,Salix hastata,,NA,
121,ABISKO,SALMYR,,,DSHRUB,SDECI,Salix,myrsinites,Salix myrsinites,,NA,
122,ABISKO,SALRET,,,DSHRUB,SDECI,Salix,reticulata,Salix reticulata,,NA,
123,ABISKO,SAXAIZ,,,FORBSV,FORB,Saxifraga,aizoides,Saxifraga aizoides,,NA,
124,ABISKO,SILACA,,,FORBSV,FORB,Silene,acaulis,Silene acaulis,,NA,
125,ABISKO,SPHFUS,,,MOSS,SPHAG,Sphagnum,fuscum,Sphagnum fuscum,,NA,cosmo
126,ABISKO,SPHGLO,,,LICHEN,LFRUT,Sphaerophorus,globosus,Sphaerophorus globosus,,NA,cosmo
127,ABISKO,TOFPUS,,,FORBSV,FORB,Tofieldia,pusilla,Tofieldia pusilla,,NA,
128,ABISKO,VACMIC,GUER,WOODY,ESHRUB,SEVER,Vaccinium,microcarpum,Vaccinium microcarpum,CH,NA,arctic-alpine
129,ABISKO,VACULI,PHAL,WOODY,DSHRUB,SDECI,Vaccinium,uliginosum,Vaccinium uliginosum,CH,NA,cosmo
130,ABISKO,VACVIT,PHAL,WOODY,ESHRUB,SEVER,Vaccinium,vitis-idaea,Vaccinium vitis-idaea,CH,NA,cosmo
131,ABISKO,XXXCLAARBSTY,,,LICHEN,LFRUT,Cladonia,arbuscula,Cladonia arbuscula,,NA,cosmo
132,ABISKO,XXXCLACOCBORPLE,,,LICHEN,LFRUT,Cladonia,,Cladonia ,,NA,cosmo?
133,ABISKO,XXXCLASPP,,,LICHEN,LFRUT,Cladonia,,Cladonia ,,NA,
134,ABISKO,XXXDICSP,,,MOSS,MACRO,Dicranum,groenlandicum,Dicranum groenlandicum,,NA,
135,ABISKO,XXXLICHEN,,,LICHEN,LICHENU,NA,,NA ,,NA,
136,ABISKO,XXXLITTER,,,LITTER,LITTER,NA,,NA ,,NA,
137,ABISKO,XXXMOSS,,,MOSS,MOSSU,NA,,NA ,,NA,
138,ABISKO,XXXsmallliverworts,,,LIVER,LIVERLE,,, ,,NA,
139,STEPSTONES,DESANT,PHAL,HERB,GRAMINOID,GRASS,Deschampsia,antarctica,Deschampsia antarctica,HE,NA,Antarctic/alpine (Andes)
140,STEPSTONES,COLQUI,PHAL,HERB,FORBSV,FORB,Colobanthus,quitensis,Colobanthus quitensis,HE,NA,Antarctic/alpine (Andes)
141,STEPSTONES,XXXMOSS,PHAL,,MOSS,MOSSU,,, ,HE,NA,Arctic/alpine
142,STEPSTONES,XXXBARE,,,SOIL,SOIL,,, ,,NA,
143,FAROE,AGRCAN,NA,NA,GRAMINOID,GRASS,Agrostis,canina,Agrostis canina,NA,NA,NA
144,FAROE,AGRCAP,NA,NA,GRAMINOID,GRASS,Agrostis,capillaris,Agrostis capillaris,NA,NA,NA
145,FAROE,ARMMAR,NA,NA,FORBSV,FORB,Armeria,maritima,Armeria maritima,NA,NA,NA
146,FAROE,AULTUR,NA,NA,MOSS,MPLEU,Aulacomnium,turgidum,Aulacomnium turgidum,NA,NA,NA
147,FAROE,BISVIV,NA,NA,FORBSV,FORB,Bistorta,vivipara,Bistorta vivipara,NA,NA,NA
148,FAROE,CARPET,NA,NA,FORBSV,FORB,Cardaminopsis,petraea,Cardaminopsis petraea,NA,NA,NA
149,FAROE,CERARC,NA,NA,FORBSV,FORB,Cerastium,arcticum,Cerastium arcticum,NA,NA,NA
150,FAROE,CERCER,NA,NA,FORBSV,FORB,Cerastium,cerastoides,Cerastium cerastoides,NA,NA,NA
151,FAROE,XXXCLASPP,NA,NA,LICHEN,LFRUT,Cladonia,,Cladonia ,NA,NA,NA
152,FAROE,COCOFF,NA,NA,FORBSV,FORB,Cochlearia,officinalis,Cochlearia officinalis,NA,NA,NA
153,FAROE,DESFLE,NA,NA,GRAMINOID,GRASS,Deschampsia,flexuosa,Deschampsia flexuosa,NA,NA,NA
154,FAROE,EUPOFF,NA,NA,FORBSV,FORB,Euphrasia,officinalis,Euphrasia officinalis,NA,NA,NA
155,FAROE,EPIANA,NA,NA,FORBSV,FORB,Epilobium,anagallidifolium,Epilobium anagallidifolium,NA,NA,NA
156,FAROE,FESRUB,NA,NA,GRAMINOID,GRASS,Festuca,rubra,Festuca rubra,NA,NA,NA
157,FAROE,FESVIV,NA,NA,GRAMINOID,GRASS,Festuca,vivipara,Festuca vivipara,NA,NA,NA
158,FAROE,HYLSPL,NA,NA,MOSS,MPLEU,Hylocomium,splendens,Hylocomium splendens,NA,NA,NA
159,FAROE,KOEISL,NA,NA,FORBSV,FORB,Koenigia,islandica,Koenigia islandica,NA,NA,NA
160,FAROE,LUZSPI,NA,NA,GRAMINOID,RUSH,Luzula,spicata,Luzula spicata,NA,NA,NA
161,FAROE,POAPRA,NA,NA,GRAMINOID,GRASS,Poa,pratensis,Poa pratensis,NA,NA,NA
162,FAROE,XXXPOLSPP,NA,NA,MOSS,MACRO,Polytricum,,Polytricum ,NA,NA,NA
163,FAROE,RACFAS,NA,NA,MOSS,MPLEU,Racomitrium,fasciculare,Racomitrium fasciculare,NA,NA,NA
164,FAROE,RACLAN,NA,NA,MOSS,MPLEU,Racomitrium,lanuginosum,Racomitrium lanuginosum,NA,NA,NA
165,FAROE,RHOROS,NA,NA,FORBSV,FORB,Rhodiola,rosea,Rhodiola rosea,NA,NA,NA
166,FAROE,RHYLOR,NA,NA,MOSS,MPLEU,Rhytidiadelphus,loreus,Rhytidiadelphus loreus,NA,NA,NA
167,FAROE,RHYSQU,NA,NA,MOSS,MPLEU,Rhytidiadelphus,squarrosus,Rhytidiadelphus squarrosus,NA,NA,NA
168,FAROE,RUMACE,NA,NA,FORBSV,FORB,Rumex,acetosa,Rumex acetosa,NA,NA,NA
169,FAROE,SALHER,NA,NA,DSHRUB,SDECI,Salix,herbacea,Salix herbacea,NA,NA,NA
170,FAROE,SAXROS,NA,NA,FORBSV,FORB,Saxifraga,rosacea,Saxifraga rosacea,NA,NA,NA
171,FAROE,SAXSTEL,NA,NA,FORBSV,FORB,Saxifraga,stellaris,Saxifraga stellaris,NA,NA,NA
172,FAROE,SEDVIL,NA,NA,FORBSV,FORB,Sedum,villosum,Sedum villosum,NA,NA,NA
173,FAROE,SIBPRO,NA,NA,FORBSV,FORB,Sibbaldia,procumbens,Sibbaldia procumbens,NA,NA,NA
174,FAROE,SILACA,NA,NA,FORBSV,FORB,Silene,acaulis,Silene acaulis,NA,NA,NA
175,FAROE,XXXSTERSP,NA,NA,LICHEN,LFRUT,Stereocaulon,,Stereocaulon ,NA,NA,NA
176,FAROE,XXXBRYOPHSP,NA,NA,MOSS,MPLEU,,, ,NA,NA,NA
177,FAROE,THAALP,NA,NA,FORBSV,FORB,Thalictrum,alpinum,Thalictrum alpinum,NA,NA,NA
178,FAROE,XXXBARE,NA,NA,SOIL,SOIL,,, ,NA,NA,NA
179,RMBL,XXXFORB,NA,HERB,FORBSV,FORB,Unknown,,Unknown ,NA,NA,NA
180,RMBL,ARTTRI,NA,WOODY,DSHRUB,SEVER,Artemisia,tridentata,Artemisia tridentata,NA,NA,NA
181,RMBL,XXXGRAMINOID,NA,HERB,GRAMINOID,GRAMU,Unknown,,Unknown ,NA,NA,NA
182,ALEXFIORD,ARCLAT,NA,HERB,GRAMINOID,GRASS,Arctagrostis,latifolia,Arctagrostis latifolia,NA,NA,NA
183,ALEXFIORD,BRAPUR,NA,HERB,FORBSV,FORB,Braya,purpurascens,Braya purpurascens,NA,NA,NA
184,ALEXFIORD,CARAMB,NA,HERB,GRAMINOID,SEDGE,Carex,amblyorhyncha,Carex amblyorhyncha,NA,NA,NA
185,ALEXFIORD,CARAQU,NA,HERB,GRAMINOID,SEDGE,Carex,aquatilis,Carex aquatilis,NA,NA,NA
186,ALEXFIORD,CARATR,NA,HERB,GRAMINOID,SEDGE,Carex,atrofusca,Carex atrofusca,NA,NA,NA
187,ALEXFIORD,CARBEL,NA,HERB,FORBSV,FORB,Cardamine,bellidifolia,Cardamine bellidifolia,NA,NA,NA
188,ALEXFIORD,CARCAP,NA,HERB,GRAMINOID,SEDGE,Carex,capillaris,Carex capillaris,NA,NA,NA
189,ALEXFIORD,CARMEM,NA,HERB,GRAMINOID,SEDGE,Carex,membranacea,Carex membranacea,NA,NA,NA
190,ALEXFIORD,CARMIS,NA,HERB,GRAMINOID,SEDGE,Carex,misandra,Carex misandra,NA,NA,NA
191,ALEXFIORD,CARSCI,NA,HERB,GRAMINOID,SEDGE,Carex,scirpoidea,Carex scirpoidea,NA,NA,NA
192,ALEXFIORD,CARSTA,NA,HERB,GRAMINOID,SEDGE,Carex,stans,Carex stans,NA,NA,NA
193,ALEXFIORD,CASTET,NA,WOODY,ESHRUB,SEVER,Cassiope,tetragona,Cassiope tetragona,NA,NA,NA
194,ALEXFIORD,CERALP,NA,HERB,FORBSV,FORB,Cerastium,alpinum,Cerastium alpinum,NA,NA,NA
195,ALEXFIORD,DRYINT,NA,WOODY,ESHRUB,SEVER,Dryas,integrifolia,Dryas integrifolia,NA,NA,NA
196,ALEXFIORD,EQUARV,NA,HERB,FORBSV,SLVASC,Equisetum,arvense,Equisetum arvense,NA,NA,NA
197,ALEXFIORD,EQUVAR,NA,HERB,FORBSV,SLVASC,Equisetum,variegatum,Equisetum variegatum,NA,NA,NA
198,ALEXFIORD,ERIANG,NA,HERB,GRAMINOID,SEDGE,Eriophorum,angustifolium,Eriophorum angustifolium,NA,NA,NA
199,ALEXFIORD,ERISCH,NA,HERB,GRAMINOID,SEDGE,Eriophorum,scheuchzeri,Eriophorum scheuchzeri,NA,NA,NA
200,ALEXFIORD,ERITRI,NA,HERB,GRAMINOID,SEDGE,Eriophorum,triste,Eriophorum triste,NA,NA,NA
201,ALEXFIORD,FESBRA,NA,HERB,GRAMINOID,GRASS,Festuca,brachyphylla,Festuca brachyphylla,NA,NA,NA
202,ALEXFIORD,FESHYP,NA,HERB,GRAMINOID,GRASS,Festuca,hyperborea,Festuca hyperborea,NA,NA,NA
203,ALEXFIORD,XXXFESSPP,NA,HERB,GRAMINOID,GRASS,Festuca,,Festuca ,NA,NA,NA
204,ALEXFIORD,JUNALB,NA,HERB,GRAMINOID,RUSH,Juncus,albescens,Juncus albescens,NA,NA,NA
205,ALEXFIORD,JUNBIG,NA,HERB,GRAMINOID,RUSH,Juncus,biglumis,Juncus biglumis,NA,NA,NA
206,ALEXFIORD,KOBSIM,NA,HERB,GRAMINOID,SEDGE,Kobresia,simpliciuscula,Kobresia simpliciuscula,NA,NA,NA
207,ALEXFIORD,LUZARC,NA,HERB,GRAMINOID,RUSH,Luzula,arctica,Luzula arctica,NA,NA,NA
208,ALEXFIORD,LUZCON,NA,HERB,GRAMINOID,RUSH,Luzula,confusa,Luzula confusa,NA,NA,NA
209,ALEXFIORD,LYCSEL,NA,HERB,FORBSV,SLVASC,Lycopodium,selago,Lycopodium selago,NA,NA,NA
210,ALEXFIORD,MELAFF,NA,HERB,FORBSV,FORB,Melandrium,affine,Melandrium affine,NA,NA,NA
211,ALEXFIORD,MELAPE,NA,HERB,FORBSV,FORB,Melandrium,apetalum,Melandrium apetalum,NA,NA,NA
212,ALEXFIORD,MINRUB,NA,HERB,FORBSV,FORB,Minuartia,rubella,Minuartia rubella,NA,NA,NA
213,ALEXFIORD,OXYDIG,NA,HERB,FORBSV,FORB,Oxyria,digyna,Oxyria digyna,NA,NA,NA
214,ALEXFIORD,PAPRAD,NA,HERB,FORBSV,FORB,Papaver,radicatum,Papaver radicatum,NA,NA,NA
215,ALEXFIORD,PEDCAP,NA,HERB,FORBSV,FORB,Pedicularis,capitata,Pedicularis capitata,NA,NA,NA
216,ALEXFIORD,PEDHIR,NA,HERB,FORBSV,FORB,Pedicularis,hirsuta,Pedicularis hirsuta,NA,NA,NA
217,ALEXFIORD,POAARC,NA,HERB,GRAMINOID,GRASS,Poa,arctica,Poa arctica,NA,NA,NA
218,ALEXFIORD,POAGLA,NA,HERB,GRAMINOID,GRASS,Poa,glauca,Poa glauca,NA,NA,NA
219,ALEXFIORD,POLVIV,NA,HERB,FORBSV,FORB,Polygonum,viviparum,Polygonum viviparum,NA,NA,NA
220,ALEXFIORD,SALARC,NA,WOODY,DSHRUB,SDECI,Salix,arctica,Salix arctica,NA,NA,NA
221,ALEXFIORD,SAXCAE,NA,HERB,FORBSV,FORB,Saxifraga,caespitosa,Saxifraga caespitosa,NA,NA,NA
222,ALEXFIORD,SAXCER,NA,HERB,FORBSV,FORB,Saxifraga,cernua,Saxifraga cernua,NA,NA,NA
223,ALEXFIORD,SAXFOL,NA,HERB,FORBSV,FORB,Saxifraga,foliolosa,Saxifraga foliolosa,NA,NA,NA
224,ALEXFIORD,SAXNIV,NA,HERB,FORBSV,FORB,Saxifraga,nivalis,Saxifraga nivalis,NA,NA,NA
225,ALEXFIORD,SAXOPP,NA,HERB,FORBSV,FORB,Saxifraga,oppositifolia,Saxifraga oppositifolia,NA,NA,NA
226,ALEXFIORD,SAXRIV,NA,HERB,FORBSV,FORB,Saxifraga,rivularis,Saxifraga rivularis,NA,NA,NA
227,ALEXFIORD,SAXTRI,NA,HERB,FORBSV,FORB,Saxifraga,tricuspidata,Saxifraga tricuspidata,NA,NA,NA
228,ALEXFIORD,SILACA,NA,HERB,FORBSV,FORB,Silene,acaulis,Silene acaulis,NA,NA,NA
229,ALEXFIORD,STELON,NA,HERB,FORBSV,FORB,Stellaria,longipes,Stellaria longipes,NA,NA,NA
230,ALEXFIORD,VACULI,NA,WOODY,DSHRUB,SDECI,Vaccinium,uliginosum,Vaccinium uliginosum,NA,NA,NA
231,ALEXFIORD,XXXAGARICUS,NA,,FUNGI,FUNGI,,, ,NA,NA,NA
232,ALEXFIORD,XXXATTACHEDDEAD,NA,UNK,UNK,UNK,,, ,NA,NA,NA
233,ALEXFIORD,XXXBLACKALGAE,NA,,ALGAE,ALGAE,,, ,NA,NA,NA
234,ALEXFIORD,XXXCARDSPP,NA,HERB,FORBSV,FORB,Cardamine,,Cardamine ,NA,NA,NA
235,ALEXFIORD,XXXCARSPP,NA,HERB,GRAMINOID,SEDGE,Carex,,Carex ,NA,NA,NA
236,ALEXFIORD,XXXCRUST,NA,,ALGAE,ALGAE,,, ,NA,NA,NA
